cluster_id,category,canonical_keyword,member_keyword,support_count,proposed,accept
175,others,กุ้งตัวใหญ่,กุ้งตัวใหญ่,16,1,1
175,others,กุ้งตัวใหญ่,กุ้งตัวใหญ่ๆ,1,1,0
175,others,กุ้งตัวใหญ่,กุ้งตัวใหญ่สด,1,1,0
176,others,รสดี,รสดี,45,1,1
177,others,กลิ่นไม่ดี,กลิ่นไม่ดี,2,1,1
178,others,แต่งจานสวยงาม,แต่งจานสวยงาม,1,1,1
179,others,บริการดี,บริการดี,25,1,1
180,others,บรรยากาศดี,บรรยากาศดี,1,1,1
181,others,ไม่สุก,ไม่สุก,13,1,1
182,others,ปรับปรุง,ปรับปรุง,3,1,1
183,others,เนื้อหวาน,เนื้อหวาน,11,1,1
183,others,เนื้อหวาน,เนื้อหวานๆ,1,1,0
184,others,เค็มไปหน่อย,เค็มไปหน่อย,9,1,1
185,others,น้ำจิ้มอร่อย,น้ำจิ้มอร่อย,22,1,1
186,others,เหนียวมาก,เหนียวมาก,8,1,1
187,others,เคี้ยวไม่ออก,เคี้ยวไม่ออก,4,1,1
188,others,หั่นเนื้อชิ้นใหญ่,หั่นเนื้อชิ้นใหญ่,1,1,1
189,others,ทานไม่หมดเพราะสู้ความเหนียวไม่ได้,ทานไม่หมดเพราะสู้ความเหนียวไม่ได้,1,1,1
190,others,น้ำจิ้มแจ่วไม่อร่อย,น้ำจิ้มแจ่วไม่อร่อย,1,1,1
191,others,หน่อไม้อ่อน,หน่อไม้อ่อน,1,1,1
192,others,เด็ดมาก,เผ็ดมาก,24,1,0
192,others,เด็ดมาก,เด็ดมาก,28,1,1
192,others,เด็ดมาก,เผ็ดมากๆ,2,1,0
192,others,เด็ดมาก,เด็ดมากๆ,1,1,0
192,others,เด็ดมาก,เด็ดมากๆๆ,1,1,0
193,others,ทอดได้กรอบดี,ทอดได้กรอบดี,2,1,1
193,others,ทอดได้กรอบดี,ไก่ทอดกรอบดี,1,1,0
194,others,แข็ง,แข็ง,64,1,1
195,others,นุ่มดี,นุ่มดี,7,1,1
196,others,อร่อยที่สุดในประเทศไทย,อร่อยที่สุดในประเทศไทย,3,1,1
197,others,ดีเลิศ,ดีเลิศ,7,1,1
198,others,รสชาติดีดี้,รสชาติดีดี้,1,1,1
198,others,รสชาติดีดี้,รสชาติที่ดี,1,1,0
199,others,ที่สุด,ที่สุด,19,1,1
200,others,เด้งมาก,เดดมาก,1,1,0
200,others,เด้งมาก,เด้งมาก,7,1,1
201,others,กุ้งไม่สด,กุ้งไม่สด,5,1,1
202,others,น้ำเกรวี่รสชาติดีอร่อย,น้ำเกรวี่รสชาติดีอร่อย,1,1,1
203,others,อร่อยมากกกกกก,อร่อยมากกกกกก,7,1,1
204,others,เผ็ด,เผ็ด,76,1,1
204,others,เผ็ด,เผ็ดๆ,2,1,0
205,others,รสชาตืดี,รสชาตืดี,2,1,1
206,others,ติดหวานนิดหน่อย,ติดหวานนิดหน่อย,3,1,1
