cluster_id,canonical_restaurant,raw_restaurant_name,canonical_freq,raw_freq,location_name,proposed,accept
189,ไก่ย่าง สุภาพร,ไก่ย่าง สุภาพร,41,41,,1,1
190,ร้านบ้านยายเวียง,ร้านบ้านยายเวียง,34,34,,1,1
191,โอกินาว่า คินโจ,โอกินาว่า คินโจ,26,26,,1,1
192,ร้านข้าวต้มจิดาภา,ร้านข้าวต้มจิดาภา,33,33,,1,1
193,หรงหวา ก๋วยเตี๋ยวคั่วไก่,หรงหวา ก๋วยเตี๋ยวคั่วไก่,25,25,,1,1
194,ร้านยายเดือนเคหะร่มเกล้า,ร้านยายเดือนเคหะร่มเกล้า,2,2,,1,1
195,ห้องอาหารแพรว Praew Restaurant,ห้องอาหารแพรว Praew Restaurant,23,23,,1,1
196,อ้อยหวานอาหารไทยโบราณริมน้ำ Aoywaan Riverside Thai Cuisine,อ้อยหวานอาหารไทยโบราณริมน้ำ Aoywaan Riverside Thai Cuisine,24,24,,1,1
197,ครัวบ้านลีดา,ครัวบ้านลีดา,1,1,,1,1
198,ข้าวแกงใต้ริมน้ำ,ข้าวแกงใต้ริมน้ำ,1,1,,1,1
199,ครัวลุงพร ป้าหมวย,ครัวลุงพร ป้าหมวย,8,8,,1,1
200,TASTY HOUSE ชื่อนี้มีแต่ของอร่อย,TASTY HOUSE ชื่อนี้มีแต่ของอร่อย,1,1,,1,1
201,โฮงลาบ ลาดกระบัง,โฮงลาบ ลาดกระบัง,9,9,,1,1
202,ร้านอาหารบ้านณัชชา ริมน้ำท่าจีน นครชัยศรี,ร้านอาหารบ้านณัชชา ริมน้ำท่าจีน นครชัยศรี,15,15,,1,1
203,ร้านอาหาร บ้านเกาะยอ บางปู,ร้านอาหาร บ้านเกาะยอ บางปู,12,12,,1,1
204,ครัวในวัง,ครัวในวัง,21,21,,1,1
205,ร้านอาหารใต้เมืองภูเก็ต By.เป้,ร้านอาหารใต้เมืองภูเก็ต By.เป้,20,20,,1,1
206,โคตรหมูริมน้ำ,โคตรหมูริมน้ำ,23,23,,1,1
207,ร้านอาหาร เรือนริมคลอง9,ร้านอาหาร เรือนริมคลอง9,6,6,,1,1
208,อาหารป่าบางเดื่อ,อาหารป่าบางเดื่อ,30,30,,1,1
209,โจ๊กสามย่าน • สรงประภา ดอนเมือง,โจ๊กสามย่าน • สรงประภา ดอนเมือง,9,9,,1,1
210,ตลาดชัชวาล คลอง 7,ตลาดชัชวาล คลอง 7,4,4,,1,1
211,อ่าวบางปู,อ่าวบางปู,11,11,,1,1
212,ร้านสูน หมูแดง คลอง7 @ ธัญบุรี รังสิต,ร้านสูน หมูแดง คลอง7 @ ธัญบุรี รังสิต,35,35,,1,1
213,ร้านข้าวแกงเปิดหม้อ บางขุนเทียน 14,ร้านข้าวแกงเปิดหม้อ บางขุนเทียน 14,13,13,,1,1
214,ครัวบึงพญา,ครัวบึงพญา,18,18,,1,1
215,ข้าวต้มปลา โคตรเก๋า หทัยราษฎร์ 37,ข้าวต้มปลา โคตรเก๋า หทัยราษฎร์ 37,32,32,,1,1
216,บ้านหลี ซีฟู้ด,บ้านหลี ซีฟู้ด,28,28,,1,1
217,นุ๊ก สดอร่อย ซีฟู้ด อาหารทะเล ย่านบางบัวทอง นนทบุรี,นุ๊ก สดอร่อย ซีฟู้ด อาหารทะเล ย่านบางบัวทอง นนทบุรี,19,19,,1,1
218,ร้าน มหาแซ่บ,ร้าน มหาแซ่บ,5,5,,1,1
219,พาเลทบาร์,พาเลทบาร์,1,1,,1,1
220,ร้านอาหารครัวครูฤทธิ์,ร้านอาหารครัวครูฤทธิ์,5,5,,1,1
221,ครัวพะเยา,ครัวพะเยา,7,7,,1,1
222,Guza Drift izakaya/ ร้าน อาหาร ญี่ปุ่น กุซ่าดริฟฟ อิซากายะ สาขาซาฟารีเวิลด์,Guza Drift izakaya/ ร้าน อาหาร ญี่ปุ่น กุซ่าดริฟฟ อิซากายะ สาขาซาฟารีเวิลด์,1,1,,1,1
223,Bella Casa,Bella Casa,11,11,,1,1
224,อาหารทะเล ซีฟู้ด Tell me cafe & Eatery,อาหารทะเล ซีฟู้ด Tell me cafe & Eatery,4,4,,1,1
225,ฟูกุอิซากายะ,ฟูกุอิซากายะ,8,8,,1,1
226,ลุงแว่นซีฟู้ด,ลุงแว่นซีฟู้ด,23,23,,1,1
227,เม้งปูดอง เสรีไทย 27,เม้งปูดอง เสรีไทย 27,12,12,,1,1
228,ครัวบ้านพ่อ,ครัวบ้านพ่อ,28,28,,1,1
229,ซอสามสาย,ซอสามสาย,16,16,,1,1
230,kabuto22 Japanese restaurant,kabuto22 Japanese restaurant,12,12,,1,1
231,ร้านไอตืม คลองด่าน,ร้านไอตืม คลองด่าน,2,2,,1,1
232,คุ้ง คาแนล คาเฟ่,คุ้ง คาแนล คาเฟ่,3,3,,1,1
233,ภ.คิทเช่น ที่สุดของอบวุ้นเส้น Porkitchen,ภ.คิทเช่น ที่สุดของอบวุ้นเส้น Porkitchen,18,18,,1,1
234,อร่อยเหลา,อร่อยเหลา,16,16,,1,1
235,ร้านอาหารบ้านดง,ร้านอาหารบ้านดง,2,2,,1,1
236,บ้านนี้มีรัก,บ้านนี้มีรัก,5,5,,1,1
237,Kwann Restaurant Bangkok,Kwann Restaurant Bangkok,1,1,,1,1
238,ร้านส้มตำลาวลำน้ำพอง ไก่บ้านย่างเขาสวนกวาง ใกล้นิด้า,ร้านส้มตำลาวลำน้ำพอง ไก่บ้านย่างเขาสวนกวาง ใกล้นิด้า,19,19,,1,1
239,เอี่ยม โภชนา,เอี่ยม โภชนา,30,30,,1,1
240,โจ๊กสามย่าน คลองขวาง,โจ๊กสามย่าน คลองขวาง,10,10,,1,1
241,345 ห้อยขาริมทุ่ง (ร้านอาหาร&ก๋วยเตี๋ยวเรือ),345 ห้อยขาริมทุ่ง (ร้านอาหาร&ก๋วยเตี๋ยวเรือ),34,34,,1,1
242,ครัวคุณอรซีฟู้ด,ครัวคุณอรซีฟู้ด,30,30,,1,1
243,นารายณ์พิซเซอเรีย X ข้าน้อยขอชาบู สาขาปั๊มปตท.กรุงเทพกรีฑา ขาเข้า,นารายณ์พิซเซอเรีย X ข้าน้อยขอชาบู สาขาปั๊มปตท.กรุงเทพกรีฑา ขาเข้า,26,26,,1,1
244,ข้าวแกงเปิดหม้อ สาขาอ้อมน้อย(สาขาต้นตำหรับ),ข้าวแกงเปิดหม้อ สาขาอ้อมน้อย(สาขาต้นตำหรับ),11,11,,1,1
245,Elder and Better,Elder and Better,4,4,,1,1
246,BIG HOUSE (Farm & Cafe & Restaurant) บิ๊กเฮาส์ ฟร์าม คาเฟ่ และ ร้านอาหาร,BIG HOUSE (Farm & Cafe & Restaurant) บิ๊กเฮาส์ ฟร์าม คาเฟ่ และ ร้านอาหาร,10,10,,1,1
247,ฟอเรสต้า คาเฟ่,ฟอเรสต้า คาเฟ่,7,7,,1,1
